Index,C,Score,gamma
0,0.01,0.576,0.01
1,0.01,0.648,1.675
2,0.01,0.64,3.34
3,0.01,0.64,5.005
4,0.01,0.64,6.67
5,0.01,0.64,8.334999999999999
6,0.01,0.64,10.0
7,166.67499999999998,0.8043333333333333,0.01
8,166.67499999999998,0.7793333333333334,1.675
9,166.67499999999998,0.7383333333333333,3.34
10,166.67499999999998,0.6896666666666668,5.005
11,166.67499999999998,0.64,6.67
12,166.67499999999998,0.64,8.334999999999999
13,166.67499999999998,0.64,10.0
14,333.34,0.8039999999999999,0.01
15,333.34,0.7793333333333334,1.675
16,333.34,0.7383333333333333,3.34
17,333.34,0.6896666666666668,5.005
18,333.34,0.64,6.67
19,333.34,0.64,8.334999999999999
20,333.34,0.64,10.0
21,500.005,0.7796666666666667,0.01
22,500.005,0.7793333333333334,1.675
23,500.005,0.7383333333333333,3.34
24,500.005,0.6896666666666668,5.005
25,500.005,0.64,6.67
26,500.005,0.64,8.334999999999999
27,500.005,0.64,10.0
28,666.67,0.7793333333333334,0.01
29,666.67,0.7793333333333334,1.675
30,666.67,0.7383333333333333,3.34
31,666.67,0.6896666666666668,5.005
32,666.67,0.64,6.67
33,666.67,0.64,8.334999999999999
34,666.67,0.64,10.0
35,833.3349999999999,0.7793333333333334,0.01
36,833.3349999999999,0.7793333333333334,1.675
37,833.3349999999999,0.7383333333333333,3.34
38,833.3349999999999,0.6896666666666668,5.005
39,833.3349999999999,0.64,6.67
40,833.3349999999999,0.64,8.334999999999999
41,833.3349999999999,0.64,10.0
42,1000.0,0.771,0.01
43,1000.0,0.7793333333333334,1.675
44,1000.0,0.7383333333333333,3.34
45,1000.0,0.6896666666666668,5.005
46,1000.0,0.64,6.67
47,1000.0,0.64,8.334999999999999
48,1000.0,0.64,10.0
