Index,Score,max_features,n_estimators
0,0.7316666666666667,3,10
1,0.667,3,120
2,0.6746666666666666,3,230
3,0.6586666666666667,3,340
4,0.6586666666666667,3,450
5,0.6423333333333333,3,560
6,0.6503333333333333,3,670
7,0.6503333333333333,3,780
8,0.6506666666666667,3,890
9,0.65,3,1000
10,0.6426666666666666,5,10
11,0.6993333333333334,5,120
12,0.7073333333333334,5,230
13,0.7233333333333334,5,340
14,0.7150000000000001,5,450
15,0.683,5,560
16,0.7070000000000001,5,670
17,0.7070000000000001,5,780
18,0.7070000000000001,5,890
19,0.7070000000000001,5,1000
20,0.6733333333333335,7,10
21,0.6836666666666666,7,120
22,0.7150000000000001,7,230
23,0.7233333333333334,7,340
24,0.7233333333333334,7,450
25,0.7233333333333334,7,560
26,0.7233333333333334,7,670
27,0.7236666666666667,7,780
28,0.7316666666666667,7,890
29,0.7233333333333334,7,1000
30,0.7496666666666667,9,10
31,0.7316666666666667,9,120
32,0.7150000000000001,9,230
33,0.7316666666666667,9,340
34,0.7150000000000001,9,450
35,0.7313333333333334,9,560
36,0.7233333333333334,9,670
37,0.7233333333333334,9,780
38,0.7150000000000001,9,890
39,0.7316666666666667,9,1000
40,0.7310000000000001,11,10
41,0.7396666666666667,11,120
42,0.7393333333333334,11,230
43,0.7476666666666667,11,340
44,0.7396666666666667,11,450
45,0.7476666666666667,11,560
46,0.7313333333333334,11,670
47,0.7393333333333334,11,780
48,0.7396666666666667,11,890
49,0.7396666666666667,11,1000
