Index,Score,max_features,n_estimators
0,0.6343333333333333,3,100
1,0.6583333333333333,3,200
2,0.6826666666666666,3,300
3,0.6423333333333333,3,400
4,0.6586666666666667,3,500
5,0.6423333333333333,3,600
6,0.6423333333333333,3,700
7,0.6423333333333333,3,800
8,0.6503333333333333,3,900
9,0.6423333333333333,3,1000
10,0.642,5,100
11,0.7070000000000001,5,200
12,0.6990000000000001,5,300
13,0.6986666666666667,5,400
14,0.7070000000000001,5,500
15,0.6986666666666667,5,600
16,0.7150000000000001,5,700
17,0.6990000000000001,5,800
18,0.6906666666666667,5,900
19,0.7070000000000001,5,1000
20,0.7233333333333334,7,100
21,0.7313333333333334,7,200
22,0.7233333333333334,7,300
23,0.7233333333333334,7,400
24,0.7233333333333334,7,500
25,0.7233333333333334,7,600
26,0.7233333333333334,7,700
27,0.7233333333333334,7,800
28,0.7153333333333334,7,900
29,0.7233333333333334,7,1000
30,0.7310000000000001,9,100
31,0.7316666666666667,9,200
32,0.7313333333333334,9,300
33,0.7313333333333334,9,400
34,0.7316666666666667,9,500
35,0.7316666666666667,9,600
36,0.7396666666666667,9,700
37,0.7313333333333334,9,800
38,0.7233333333333334,9,900
39,0.7233333333333334,9,1000
40,0.7230000000000001,11,100
41,0.7313333333333334,11,200
42,0.7393333333333334,11,300
43,0.7313333333333334,11,400
44,0.7313333333333334,11,500
45,0.7396666666666667,11,600
46,0.7396666666666667,11,700
47,0.7393333333333334,11,800
48,0.7313333333333334,11,900
49,0.7396666666666667,11,1000
50,0.7396666666666667,13,100
51,0.7396666666666667,13,200
52,0.7476666666666667,13,300
53,0.7230000000000001,13,400
54,0.7230000000000001,13,500
55,0.7313333333333334,13,600
56,0.7396666666666667,13,700
57,0.7476666666666667,13,800
58,0.7396666666666667,13,900
59,0.7476666666666667,13,1000
