Index,Score,max_features,n_estimators
0,0.5360071301247772,7,100
1,0.5422459893048128,7,135
2,0.5481283422459893,7,171
3,0.559536541889483,7,207
4,0.5602495543672015,7,242
5,0.5543672014260249,7,278
6,0.5659536541889483,7,314
7,0.5481283422459893,7,350
8,0.566488413547237,9,100
9,0.5547237076648841,9,135
10,0.584313725490196,9,171
11,0.5545454545454546,9,207
12,0.5363636363636364,9,242
13,0.5481283422459893,9,278
14,0.5483065953654188,9,314
15,0.5242424242424242,9,350
16,0.584313725490196,11,100
17,0.5600713012477718,11,135
18,0.5602495543672015,11,171
19,0.5363636363636364,11,207
20,0.5481283422459893,11,242
21,0.5602495543672015,11,278
22,0.5663101604278075,11,314
23,0.5420677361853833,11,350
