Index,C,Score,gamma
0,0.01,0.576,0.01
1,0.01,0.576,0.1
2,0.01,0.592,1.0
3,0.01,0.568,10.0
4,0.01,0.592,100.0
5,0.01,0.488,1000.0
6,0.1,0.576,0.01
7,0.1,0.7153333333333334,0.1
8,0.1,0.592,1.0
9,0.1,0.568,10.0
10,0.1,0.592,100.0
11,0.1,0.488,1000.0
12,1.0,0.6746666666666667,0.01
13,1.0,0.7886666666666666,0.1
14,1.0,0.7883333333333333,1.0
15,1.0,0.568,10.0
16,1.0,0.5680000000000001,100.0
17,1.0,0.488,1000.0
18,10.0,0.7313333333333334,0.01
19,10.0,0.806,0.1
20,10.0,0.7966666666666666,1.0
21,10.0,0.592,10.0
22,10.0,0.592,100.0
23,10.0,0.488,1000.0
24,100.0,0.7963333333333333,0.01
25,100.0,0.8703333333333333,0.1
26,100.0,0.7966666666666666,1.0
27,100.0,0.592,10.0
28,100.0,0.592,100.0
29,100.0,0.488,1000.0
30,1000.0,0.8136666666666666,0.01
31,1000.0,0.9109999999999999,0.1
32,1000.0,0.7966666666666666,1.0
33,1000.0,0.592,10.0
34,1000.0,0.592,100.0
35,1000.0,0.488,1000.0
