,mean Validation Error,gamma,C
0,0.608,0.01,0.01
1,0.6,166.67499999999998,0.01
2,0.6,333.34,0.01
3,0.616,500.005,0.01
4,0.616,666.67,0.01
5,0.488,833.3349999999999,0.01
6,0.488,1000.0,0.01
7,0.796,0.01,166.67499999999998
8,0.6,166.67499999999998,166.67499999999998
9,0.6,333.34,166.67499999999998
10,0.616,500.005,166.67499999999998
11,0.616,666.67,166.67499999999998
12,0.488,833.3349999999999,166.67499999999998
13,0.488,1000.0,166.67499999999998
14,0.8126666666666666,0.01,333.34
15,0.6,166.67499999999998,333.34
16,0.6,333.34,333.34
17,0.616,500.005,333.34
18,0.616,666.67,333.34
19,0.488,833.3349999999999,333.34
20,0.488,1000.0,333.34
21,0.7883333333333333,0.01,500.005
22,0.6,166.67499999999998,500.005
23,0.6,333.34,500.005
24,0.616,500.005,500.005
25,0.616,666.67,500.005
26,0.488,833.3349999999999,500.005
27,0.488,1000.0,500.005
28,0.7716666666666667,0.01,666.67
29,0.6,166.67499999999998,666.67
30,0.6,333.34,666.67
31,0.616,500.005,666.67
32,0.616,666.67,666.67
33,0.488,833.3349999999999,666.67
34,0.488,1000.0,666.67
35,0.78,0.01,833.3349999999999
36,0.6,166.67499999999998,833.3349999999999
37,0.6,333.34,833.3349999999999
38,0.616,500.005,833.3349999999999
39,0.616,666.67,833.3349999999999
40,0.488,833.3349999999999,833.3349999999999
41,0.488,1000.0,833.3349999999999
42,0.7966666666666666,0.01,1000.0
43,0.6,166.67499999999998,1000.0
44,0.6,333.34,1000.0
45,0.616,500.005,1000.0
46,0.616,666.67,1000.0
47,0.488,833.3349999999999,1000.0
48,0.488,1000.0,1000.0
