Index,C,Score,gamma
0,20.0,0.757,0.01
1,20.0,0.8133333333333332,0.02
2,20.0,0.8373333333333333,0.03
3,20.0,0.8536666666666667,0.04
4,20.0,0.8373333333333333,0.05
5,20.0,0.8293333333333333,0.060000000000000005
6,20.0,0.8373333333333333,0.06999999999999999
7,20.0,0.8536666666666667,0.08
8,20.0,0.8370000000000001,0.09
9,20.0,0.8286666666666667,0.09999999999999999
10,20.0,0.8366666666666667,0.11
11,20.0,0.8366666666666667,0.12
12,20.0,0.8366666666666667,0.13
13,20.0,0.8530000000000001,0.14
14,20.0,0.8693333333333333,0.15000000000000002
15,20.0,0.8693333333333333,0.16
16,20.0,0.8616666666666667,0.17
17,20.0,0.8370000000000001,0.18000000000000002
18,20.0,0.8210000000000001,0.19
19,20.0,0.8293333333333333,0.2
20,20.0,0.8293333333333333,0.21000000000000002
21,20.0,0.8293333333333333,0.22
22,20.0,0.8373333333333333,0.23
23,20.0,0.8456666666666667,0.24000000000000002
24,20.0,0.8456666666666667,0.25
25,20.0,0.8536666666666667,0.26
26,20.0,0.8456666666666667,0.27
27,20.0,0.8456666666666667,0.28
28,20.0,0.8456666666666667,0.29000000000000004
29,20.0,0.8536666666666667,0.3
30,20.0,0.8536666666666667,0.31
31,20.0,0.8536666666666667,0.32
32,20.0,0.8536666666666667,0.33
33,20.0,0.8536666666666667,0.34
34,20.0,0.8536666666666667,0.35000000000000003
35,20.0,0.8453333333333333,0.36000000000000004
36,20.0,0.8453333333333333,0.37
37,20.0,0.8373333333333333,0.38
38,20.0,0.8456666666666667,0.39
39,20.0,0.8456666666666667,0.4
40,20.0,0.8453333333333333,0.41000000000000003
41,20.0,0.8453333333333333,0.42000000000000004
42,20.0,0.8453333333333333,0.43
43,20.0,0.8453333333333333,0.44
44,20.0,0.8370000000000001,0.45
45,20.0,0.8370000000000001,0.46
46,20.0,0.8370000000000001,0.47000000000000003
47,20.0,0.8370000000000001,0.48000000000000004
48,20.0,0.8370000000000001,0.49
49,20.0,0.8370000000000001,0.5
50,20.0,0.829,0.51
51,20.0,0.829,0.52
52,20.0,0.829,0.53
53,20.0,0.829,0.54
54,20.0,0.8370000000000001,0.55
55,20.0,0.8370000000000001,0.56
56,20.0,0.8370000000000001,0.5700000000000001
57,20.0,0.8370000000000001,0.5800000000000001
58,20.0,0.8370000000000001,0.59
59,20.0,0.8370000000000001,0.6
60,20.0,0.8370000000000001,0.61
61,20.0,0.8370000000000001,0.62
62,20.0,0.8370000000000001,0.63
63,20.0,0.845,0.64
64,20.0,0.845,0.65
65,20.0,0.845,0.66
66,20.0,0.845,0.67
67,20.0,0.845,0.68
68,20.0,0.845,0.6900000000000001
69,20.0,0.845,0.7000000000000001
70,20.0,0.845,0.7100000000000001
71,20.0,0.845,0.72
72,20.0,0.8533333333333333,0.73
