Index,C,Score,gamma
0,79.3939393939394,0.7966666666666666,0.79
1,920.8080808080808,0.805,0.9600000000000001
2,346.6666666666667,0.8043333333333333,0.43
3,128.8888888888889,0.8126666666666666,0.49
4,168.4848484848485,0.8363333333333334,0.19
5,138.7878787878788,0.8126666666666666,0.49
6,415.95959595959596,0.805,0.93
7,109.0909090909091,0.7966666666666666,0.74
8,584.2424242424242,0.805,1.0
9,782.2222222222223,0.8373333333333333,0.01
10,623.8383838383838,0.8123333333333334,0.41000000000000003
11,445.6565656565657,0.8046666666666666,0.5700000000000001
12,623.8383838383838,0.8123333333333334,0.37
13,920.8080808080808,0.812,0.27
14,128.8888888888889,0.8036666666666668,0.26
15,49.6969696969697,0.7966666666666666,0.8400000000000001
16,168.4848484848485,0.796,0.45
17,148.6868686868687,0.8046666666666666,0.6900000000000001
18,297.1717171717172,0.805,0.88
19,891.1111111111112,0.8363333333333334,0.18000000000000002
20,227.8787878787879,0.8446666666666666,0.11
21,792.1212121212121,0.8046666666666666,0.53
22,960.4040404040404,0.8123333333333334,0.38
23,673.3333333333334,0.7966666666666666,0.79
24,901.010101010101,0.8036666666666668,0.26
25,673.3333333333334,0.8363333333333334,0.19
26,287.2727272727273,0.8046666666666666,0.55
27,742.6262626262627,0.8613333333333333,0.05
28,841.6161616161617,0.8203333333333334,0.34
29,930.7070707070708,0.8526666666666666,0.09999999999999999
30,128.8888888888889,0.805,0.98
31,623.8383838383838,0.861,0.08
32,168.4848484848485,0.8046666666666666,0.66
33,208.08080808080808,0.8126666666666666,0.47000000000000003
34,346.6666666666667,0.7966666666666666,0.8200000000000001
35,693.1313131313132,0.7966666666666666,0.78
36,683.2323232323233,0.8046666666666666,0.5800000000000001
37,554.5454545454546,0.805,0.9500000000000001
38,831.7171717171718,0.8123333333333334,0.35000000000000003
39,663.4343434343435,0.805,0.98
40,188.2828282828283,0.7966666666666666,0.77
41,811.9191919191919,0.8046666666666666,0.53
42,257.5757575757576,0.8283333333333334,0.21000000000000002
43,891.1111111111112,0.8123333333333334,0.36000000000000004
44,198.1818181818182,0.8203333333333334,0.33
45,821.8181818181819,0.805,0.89
46,415.95959595959596,0.8046666666666666,0.5800000000000001
47,980.2020202020203,0.8123333333333334,0.38
48,435.7575757575758,0.8046666666666666,0.7000000000000001
49,356.5656565656566,0.805,0.87
50,198.1818181818182,0.8123333333333334,0.42000000000000004
51,198.1818181818182,0.8693333333333333,0.08
52,208.08080808080808,0.8213333333333335,0.01
53,59.5959595959596,0.8036666666666668,0.26
54,297.1717171717172,0.8046666666666666,0.66
55,524.8484848484849,0.8293333333333333,0.03
56,653.5353535353536,0.8046666666666666,0.65
57,297.1717171717172,0.8043333333333333,0.44
58,623.8383838383838,0.82,0.23
59,594.1414141414142,0.7966666666666666,0.8400000000000001
60,841.6161616161617,0.805,0.89
61,425.8585858585859,0.7966666666666666,0.8
62,564.4444444444445,0.8046666666666666,0.61
63,831.7171717171718,0.8046666666666666,0.51
64,851.5151515151516,0.7966666666666666,0.8
65,128.8888888888889,0.8126666666666666,0.05
66,99.1919191919192,0.805,0.93
67,277.3737373737374,0.8046666666666666,0.51
68,683.2323232323233,0.7966666666666666,0.85
69,554.5454545454546,0.8036666666666668,0.25
70,128.8888888888889,0.8036666666666668,0.25
71,683.2323232323233,0.8526666666666666,0.09999999999999999
72,168.4848484848485,0.8123333333333334,0.36000000000000004
73,277.3737373737374,0.8526666666666666,0.09
74,297.1717171717172,0.8283333333333334,0.2
75,722.8282828282829,0.805,0.99
76,29.8989898989899,0.7966666666666666,0.78
77,257.5757575757576,0.7966666666666666,0.8
78,415.95959595959596,0.8363333333333334,0.19
79,1000.0,0.82,0.22
80,465.4545454545455,0.8526666666666666,0.15000000000000002
81,722.8282828282829,0.7966666666666666,0.72
82,336.7676767676768,0.82,0.23
83,376.3636363636364,0.805,0.9500000000000001
84,841.6161616161617,0.8123333333333334,0.41000000000000003
85,435.7575757575758,0.861,0.13
86,772.3232323232323,0.805,1.0
87,158.5858585858586,0.861,0.08
88,237.7777777777778,0.805,1.0
89,703.0303030303031,0.8293333333333333,0.03
90,683.2323232323233,0.7966666666666666,0.75
91,475.3535353535354,0.813,0.03
92,970.3030303030304,0.8046666666666666,0.6900000000000001
93,752.5252525252525,0.7966666666666666,0.85
94,703.0303030303031,0.7966666666666666,0.75
95,29.8989898989899,0.7966666666666666,0.77
96,445.6565656565657,0.82,0.23
97,336.7676767676768,0.7966666666666666,0.8
98,861.4141414141415,0.8123333333333334,0.38
99,109.0909090909091,0.805,0.9500000000000001
